"pathway" "deceacelist"
"380" "Uveal Diseases" "Heart Development"
"381" "Mycoses" "Toll-like receptor signaling pathway;Regulation of toll-like receptor signaling pathway"
"382" "Adenofibroma" ""
"383" "Retinal Vasculitis" ""
"384" "Otitis Media with Effusion" "Matrix Metalloproteinases;Toll-like receptor signaling pathway;Allograft Rejection;TWEAK Signaling Pathway;SIDS Susceptibility Pathways;Spinal Cord Injury;Monoamine Transport;Regulation of toll-like receptor signaling pathway;AGE/RAGE pathway;EBV LMP1 signaling;Cytokines and Inflammatory Response;Folate Metabolism"
"385" "Hemoglobin C Disease" "Selenium Micronutrient Network;Vitamin B12 Metabolism;Folate Metabolism"
"386" "Uterine Cervical Dysplasia" "Allograft Rejection"
"387" "Gingivitis" "Type II interferon signaling (IFNG);Toll-like receptor signaling pathway;Allograft Rejection;FAS pathway and Stress induction of HSP regulation;TCR Signaling Pathway;SIDS Susceptibility Pathways;Spinal Cord Injury;Monoamine Transport;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;Amyotrophic lateral sclerosis (ALS);MAPK Signaling Pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"388" "Vaginal Diseases" "Toll-like receptor signaling pathway;Allograft Rejection;TCR Signaling Pathway;SIDS Susceptibility Pathways;TSLP Signaling Pathway;Myometrial Relaxation and Contraction Pathways;Spinal Cord Injury;Vitamin B12 Metabolism;Regulation of toll-like receptor signaling pathway;Serotonin Transporter Activity;EBV LMP1 signaling;Senescence and Autophagy;Cytokines and Inflammatory Response;Folate Metabolism"
"389" "Burning Mouth Syndrome" "Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;TWEAK Signaling Pathway;TCR Signaling Pathway;Alzheimers Disease;SIDS Susceptibility Pathways;Spinal Cord Injury;Vitamin B12 Metabolism;Monoamine Transport;Arylhydrocarbon receptor (AhR) signaling pathway;Regulation of toll-like receptor signaling pathway;TNF alpha Signaling Pathway;MAPK Signaling Pathway;Cytokines and Inflammatory Response;Folate Metabolism"
"390" "Trypanosomiasis, African" "TWEAK Signaling Pathway;TSLP Signaling Pathway;Vitamin B12 Metabolism;IL-6 signaling pathway;Cytokines and Inflammatory Response"
"391" "Motion Sickness" "Monoamine GPCRs"
"392" "Toxoplasmosis, Ocular" "Cytokines and Inflammatory Response"
"393" "Duodenal Diseases" "NOD pathway"
"394" "Anthracosis" "Regulation of toll-like receptor signaling pathway"
"395" "Lymphadenitis" "Type II interferon signaling (IFNG);Allograft Rejection;Interferon type I signaling pathways;IL-4 Signaling Pathway;Leptin signaling pathway;Cytokines and Inflammatory Response"
"396" "THYROID CARCINOMA, FOLLICULAR" ""
"397" "INTESTINAL ATRESIA, MULTIPLE" "Regulation of Actin Cytoskeleton"
"398" "Mastocytosis, Cutaneous" "Kit receptor signaling pathway;Cell Cycle"
"399" "Carcinoma, Embryonal" ""
"400" "Vascular Neoplasms" ""
"401" "AIDS-Associated Nephropathy" ""
"402" "Encephalomyelitis, Venezuelan Equine" "Nucleotide Metabolism"
"403" "Bacteriuria" "Toll-like receptor signaling pathway;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway;EBV LMP1 signaling"
"404" "Elephantiasis, Filarial" "Toll-like receptor signaling pathway;Regulation of toll-like receptor signaling pathway"
"405" "Lyme Neuroborreliosis" "Matrix Metalloproteinases;Toll-like receptor signaling pathway;Selenium Micronutrient Network;Allograft Rejection;Estrogen signaling pathway;Eicosanoid Synthesis;TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;TCR Signaling Pathway;Structural Pathway of Interleukin 1 (IL-1);Leptin signaling pathway;Osteopontin Signaling;TSLP Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Endochondral Ossification;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;AGE/RAGE pathway;Senescence and Autophagy;TFs Regulate miRNAs related to cardiac hypertrophy;Cytokines and Inflammatory Response;Folate Metabolism"
"406" "Nerve Sheath Neoplasms" "G1 to S cell cycle control;TP53 Network;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;Signaling Pathways in Glioblastoma"
"407" "Biliary Tract Neoplasms" "Gastric acid production"
"408" "Carcinoma, Neuroendocrine" ""
"409" "Herpes Simplex" ""
"410" "Histiocytoma, Malignant Fibrous" "ErbB Signaling Pathway"
"411" "Dysgerminoma" ""
"412" "Dissociative Disorders" "Primary Focal Segmental Glomerulosclerosis FSGS;Pathogenic Escherichia coli infection"
"413" "Dermatofibrosarcoma" "Osteoblast Signaling;Focal Adhesion;PDGF Pathway;MAPK Signaling Pathway;Signaling Pathways in Glioblastoma"
"414" "Carcinoma, Verrucous" "Integrated Cancer pathway;DNA Damage Response (only ATM dependent);DNA Damage Response;Gastric cancer network 2;G1 to S cell cycle control;Cell Cycle;Spinal Cord Injury;Androgen receptor signaling pathway;ATM Signaling Pathway;TP53 Network;Apoptosis;miRNA Regulation of DNA Damage Response;ErbB Signaling Pathway;Wnt Signaling Pathway and Pluripotency;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;RB in Cancer;miRNAs involved in DNA damage response"
"415" "Keratosis, Actinic" "EPO Receptor Signaling;Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;Serotonin Receptor 2 and ELK-SRF/GATA4 signaling;Signal Transduction of S1P Receptor;IL-7 Signaling Pathway;Integrated Cancer pathway;BDNF signaling pathway;Corticotropin-releasing hormone;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;TCR Signaling Pathway;Alzheimers Disease;Structural Pathway of Interleukin 1 (IL-1);Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;IL-9 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;G1 to S cell cycle control;Insulin Signaling;Nifedipine Activity;Oncostatin M Signaling Pathway;Spinal Cord Injury;Hypothetical Network for Drug Addiction;IL-5 Signaling Pathway;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;IL-1 signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma;Serotonin Receptor 4/6/7 and NR3C Signaling;IL-2 Signaling Pathway;FSH signaling pathway"
"416" "Lichen Planus" "Matrix Metalloproteinases;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Amyotrophic lateral sclerosis (ALS);Cytokines and Inflammatory Response"
"417" "Stomatitis, Aphthous" "Toll-like receptor signaling pathway;Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;TCR Signaling Pathway;Alzheimers Disease;SIDS Susceptibility Pathways;Myometrial Relaxation and Contraction Pathways;Spinal Cord Injury;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Monoamine Transport;Regulation of toll-like receptor signaling pathway;Serotonin Transporter Activity;EBV LMP1 signaling;TNF alpha Signaling Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"418" "Malaria, Vivax" "Matrix Metalloproteinases;Toll-like receptor signaling pathway;Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Aryl Hydrocarbon Receptor;Alzheimers Disease;TGF Beta Signaling Pathway;Notch Signaling Pathway;MicroRNAs in cardiomyocyte hypertrophy;Spinal Cord Injury;Apoptosis Modulation by HSP70;Monoamine Transport;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;Amyotrophic lateral sclerosis (ALS);EBV LMP1 signaling;TNF alpha Signaling Pathway;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"419" "Hypoxia-Ischemia, Brain" "Type II interferon signaling (IFNG);Matrix Metalloproteinases;Toll-like receptor signaling pathway;NOD pathway;Selenium Micronutrient Network;Adipogenesis;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;TCR Signaling Pathway;Alzheimers Disease;SIDS Susceptibility Pathways;Myometrial Relaxation and Contraction Pathways;Spinal Cord Injury;Apoptosis Modulation by HSP70;Vitamin B12 Metabolism;Monoamine Transport;Arylhydrocarbon receptor (AhR) signaling pathway;Regulation of toll-like receptor signaling pathway;Amyotrophic lateral sclerosis (ALS);Serotonin Transporter Activity;EBV LMP1 signaling;TNF alpha Signaling Pathway;MAPK Signaling Pathway;Senescence and Autophagy;Type II diabetes mellitus;RB in Cancer;Cytokines and Inflammatory Response;Folate Metabolism"
"420" "Influenza in Birds" "Toll-like receptor signaling pathway;Regulation of toll-like receptor signaling pathway"
"421" "Endocarditis" "Allograft Rejection;FAS pathway and Stress induction of HSP regulation;TCR Signaling Pathway;Spinal Cord Injury;Hypertrophy Model;IL-1 signaling pathway;Senescence and Autophagy;Cytokines and Inflammatory Response"
"422" "Cheilitis" "Oncostatin M Signaling Pathway"
"423" "AIDS-Related Complex" "Integrated Cancer pathway"
"424" "Echinococcosis" "Estrogen metabolism;Tamoxifen metabolism;Aryl Hydrocarbon Receptor;Oxidative Stress;Benzo(a)pyrene metabolism;Fatty Acid Omega Oxidation;Arylhydrocarbon receptor (AhR) signaling pathway;Tryptophan metabolism;Oxidation by Cytochrome P450"
"425" "Pulmonary Alveolar Proteinosis" "Cytokines and Inflammatory Response"
"426" "Kwashiorkor" ""
"427" "Alcoholic Neuropathy" "Fatty Acid Omega Oxidation;Tryptophan metabolism"
"428" "Filariasis" "Inflammatory Response Pathway;Prostaglandin Synthesis and Regulation;Physiological and Pathological Hypertrophy  of the Heart;Arylhydrocarbon receptor (AhR) signaling pathway;Endothelin Pathways;Cytokines and Inflammatory Response;IL-2 Signaling Pathway"
"429" "Myoepithelioma" ""
"430" "Hyper-IgM Immunodeficiency Syndrome" "NLR Proteins;Allograft Rejection;Inflammatory Response Pathway"
"431" "Sarcoma, Myeloid" ""
"432" "Ileus" "Corticotropin-releasing hormone;Myometrial Relaxation and Contraction Pathways"
"433" "Sphingolipidoses" ""
"434" "Endometrial Stromal Tumors" ""
"435" "Endophthalmitis" ""
"436" "Smooth Muscle Tumor" ""
"437" "Polychondritis, Relapsing" "Toll-like receptor signaling pathway;Spinal Cord Injury;Regulation of toll-like receptor signaling pathway"
"438" "Salpingitis" "Toll-like receptor signaling pathway;Allograft Rejection;IL-3 Signaling Pathway;TSLP Signaling Pathway;Spinal Cord Injury;EBV LMP1 signaling;Senescence and Autophagy"
"439" "Choline Deficiency" "Trans-sulfuration and one carbon metabolism;One Carbon Metabolism;Folate Metabolism"
"440" "Endocardial Fibroelastosis" ""
"441" "Meconium Aspiration Syndrome" "Prostaglandin Synthesis and Regulation"
"442" "Moyamoya Disease" ""
"443" "Teratocarcinoma" ""
"444" "Diverticulitis" "Angiogenesis;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;SIDS Susceptibility Pathways;Hypertrophy Model;Monoamine Transport;Serotonin Transporter Activity"
"445" "POEMS Syndrome" "Angiogenesis;Allograft Rejection;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;Oncostatin M Signaling Pathway;Hypertrophy Model;Endochondral Ossification;Heart Development"
"446" "Duodenal Neoplasms" ""
"447" "Vaccinia" "B Cell Receptor Signaling Pathway;Serotonin Receptor 2 and ELK-SRF/GATA4 signaling;Toll-like receptor signaling pathway;BDNF signaling pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;TCR Signaling Pathway;Structural Pathway of Interleukin 1 (IL-1);IL-9 Signaling Pathway;Leptin signaling pathway;Osteopontin Signaling;TSLP Signaling Pathway;RANKL/RANK Signaling Pathway;Nifedipine Activity;Oncostatin M Signaling Pathway;Apoptosis Modulation by HSP70;Regulation of toll-like receptor signaling pathway;IL-1 signaling pathway;AGE/RAGE pathway;EBV LMP1 signaling;TNF alpha Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;MAPK Signaling Pathway;Serotonin Receptor 4/6/7 and NR3C Signaling;TFs Regulate miRNAs related to cardiac hypertrophy"
"448" "Acanthoma" "Angiogenesis;Regulation of Actin Cytoskeleton"
"449" "Pneumocystis Infections" ""
"450" "X-Linked Combined Immunodeficiency Diseases" "IL-7 Signaling Pathway;Inflammatory Response Pathway;IL-9 Signaling Pathway;IL-4 Signaling Pathway;IL-2 Signaling Pathway"
"451" "Lymphangioma" "Angiogenesis;Cardiac Progenitor Differentiation"
"452" "Fallopian Tube Neoplasms" "Integrated Cancer pathway;ATM Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Homologous recombination;Signaling Pathways in Glioblastoma"
"453" "Laryngitis" "Gastric acid production"
"454" "Lateral Sinus Thrombosis" "Fluoropyrimidine Activity;Selenium Micronutrient Network;Trans-sulfuration and one carbon metabolism;One carbon donor;One Carbon Metabolism;Vitamin B12 Metabolism;Glycine Metabolism;Folate-Alcohol and Cancer Pathway;Folate Metabolism"
"455" "Paraplegia" ""
"456" "Phimosis" "Nanoparticle-mediated activation of receptor signaling;Signaling of Hepatocyte Growth Factor Receptor;Integrin-mediated Cell Adhesion;Regulation of Actin Cytoskeleton;Arrhythmogenic Right Ventricular Cardiomyopathy"
"457" "Paralyses, Familial Periodic" "TarBasePathway"
"458" "Dermoid Cyst" "Hedgehog Signaling Pathway;Endochondral Ossification"
"459" "Esophageal Atresia" "Hedgehog Signaling Pathway;Heart Development"
"460" "Mucolipidoses" ""
"461" "Staphylococcal Scalded Skin Syndrome" ""
"462" "Porokeratosis" "Regulation of Actin Cytoskeleton"
"463" "Venous Insufficiency" ""
"464" "Arachnoid Cysts" ""
"465" "Tonsillitis" ""
"466" "Cryptococcosis" ""
"467" "Angioid Streaks" ""
"468" "Lens Subluxation" ""
"469" "Gangliosidoses" ""
"470" "Jaundice, Chronic Idiopathic" "Nuclear Receptors in Lipid Metabolism and Toxicity;Drug Induction of Bile Acid Pathway;Codeine and Morphine Metabolism;Irinotecan Pathway"
"471" "Osteochondritis Dissecans" "Matrix Metalloproteinases;Oncostatin M Signaling Pathway;Endochondral Ossification"
"472" "Proteus Syndrome" "Integrated Cancer pathway;DNA Damage Response (only ATM dependent);Butyrate-induced histone acetylation;Focal Adhesion;Regulation of Microtubule Cytoskeleton;Insulin Signaling;Androgen receptor signaling pathway;EGF/EGFR Signaling Pathway;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma;TFs Regulate miRNAs related to cardiac hypertrophy"
"473" "Sjogren-Larsson Syndrome" "Tryptophan metabolism"
"474" "Hyperargininemia" "Urea cycle and metabolism of amino groups;Spinal Cord Injury"
"475" "Bardet-Biedl Syndrome" ""
"476" "Mucopolysaccharidosis VI" ""
"477" "Diabetes Insipidus, Neurogenic" "NOD pathway"
"478" "COLORECTAL CANCER" "Wnt Signaling Pathway Netpath;DNA Damage Response (only ATM dependent);TGF Beta Signaling Pathway;Wnt Signaling Pathway;Androgen receptor signaling pathway;Heart Development;Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy"
"479" "Ovarian Neoplasms" "Estrogen metabolism;Kit receptor signaling pathway;Nanoparticle-mediated activation of receptor signaling;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Corticotropin-releasing hormone;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;Focal Adhesion;TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;G1 to S cell cycle control;MicroRNAs in cardiomyocyte hypertrophy;Oncostatin M Signaling Pathway;Spinal Cord Injury;Androgen receptor signaling pathway;IL-5 Signaling Pathway;TP53 Network;Apoptosis;EGF/EGFR Signaling Pathway;AGE/RAGE pathway;ErbB Signaling Pathway;IL-6 signaling pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Ovarian Infertility Genes;Integrated Breast Cancer Pathway;Senescence and Autophagy;MAPK Cascade;Signaling Pathways in Glioblastoma;IL-2 Signaling Pathway;FSH signaling pathway"
"480" "Cardiomyopathy, Hypertrophic, Familial" "Cardiac Progenitor Differentiation;Striated Muscle Contraction"
"481" "Carbamoyl-Phosphate Synthase I Deficiency Disease" "Urea cycle and metabolism of amino groups"
"482" "Retinitis Pigmentosa" ""
"483" "Unverricht-Lundborg Syndrome" ""
"484" "Xanthomatosis, Cerebrotendinous" "Nuclear Receptors in Lipid Metabolism and Toxicity;Vitamin D Metabolism;Drug Induction of Bile Acid Pathway;Oxidation by Cytochrome P450"
"485" "Smith-Lemli-Opitz Syndrome" "Cholesterol Biosynthesis;Monoamine GPCRs;Vitamin D Metabolism"
"486" "CYCLIC NEUTROPENIA" ""
"487" "Telangiectasia, Hereditary Hemorrhagic" "Heart Development"
"488" "Lafora Disease" ""
"489" "ROBERTS SYNDROME" ""
"490" "Ellis-Van Creveld Syndrome" ""
"491" "Factor XII Deficiency" "Complement and Coagulation Cascades;Blood Clotting Cascade"
"492" "Fanconi Anemia" "DNA Damage Response;ATM Signaling Pathway;Homologous recombination;RB in Cancer"
"493" "Marfan Syndrome" "Matrix Metalloproteinases;TGF Beta Signaling Pathway"
"494" "FACIOGENITAL DYSPLASIA" "Regulation of Actin Cytoskeleton"
"495" "Testicular Neoplasms" "Estrogen metabolism;Apoptosis"
"496" "Leukodystrophy, Globoid Cell" ""
"497" "Fabry Disease" "Type II interferon signaling (IFNG);Spinal Cord Injury;Vitamin B12 Metabolism;Folate Metabolism;Effects of Nitric Oxide"
"498" "POLYDACTYLY, POSTAXIAL, TYPE A1" "Endochondral Ossification"
"499" "Bernard-Soulier Syndrome" ""
"500" "Porphyria, Acute Intermittent" "Heme Biosynthesis"
"501" "Osteoarthropathy, Primary Hypertrophic" "Prostaglandin Synthesis and Regulation"
"502" "Dysautonomia, Familial" ""
"503" "SQUAMOUS CELL CARCINOMA, HEAD AND NECK" "Integrated Cancer pathway;Senescence and Autophagy"
"504" "Cryptorchidism" "Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Ovarian Infertility Genes"
"505" "Thrombasthenia" "Osteoblast Signaling;Focal Adhesion;Integrin-mediated Cell Adhesion;Osteopontin Signaling;Osteoclast Signaling;Monoamine Transport;Serotonin Transporter Activity;Arrhythmogenic Right Ventricular Cardiomyopathy"
"506" "Acrocallosal Syndrome" "Hedgehog Signaling Pathway"
"507" "Gastrointestinal Stromal Tumors" "TCA Cycle;Angiogenesis;AMPK Signaling;DNA Damage Response (only ATM dependent);Aryl Hydrocarbon Receptor;TP53 Network;Integrated Pancreatic Cancer Pathway;Signaling Pathways in Glioblastoma"
"508" "Pelger-Huet Anomaly" "Gastric cancer network 2"
"509" "Hyperlipoproteinemia Type I" "Statin Pathway"
"510" "MUCOPOLYSACCHARIDOSIS TYPE IIIA" ""
"511" "MUCOPOLYSACCHARIDOSIS TYPE IIIB" ""
"512" "Situs Inversus" ""
"513" "Sotos Syndrome" "Histone Modifications"
"514" "Ornithine Carbamoyltransferase Deficiency Disease" "Urea cycle and metabolism of amino groups"
"515" "Aniridia" ""
"516" "Pyruvate Carboxylase Deficiency Disease" "Alanine and aspartate metabolism;Glycolysis and Gluconeogenesis;Fatty Acid Biosynthesis"
"517" "Glycogen Storage Disease Type VII" ""
"518" "Polycystic Kidney, Autosomal Recessive" ""
"519" "Porphyria, Variegate" "Heme Biosynthesis"
"520" "Basal Cell Nevus Syndrome" "Hedgehog Signaling Pathway"
"521" "Carcinoma, Endometrioid" "Integrated Cancer pathway;Mismatch repair;Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Ovarian Infertility Genes;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"522" "ENDOMETRIAL CANCER" "Integrated Cancer pathway;Mismatch repair;Nuclear Receptors;Integrated Pancreatic Cancer Pathway;Ovarian Infertility Genes;Integrated Breast Cancer Pathway;Signaling Pathways in Glioblastoma"
"523" "Enchondromatosis" ""
"524" "Paralysis, Hyperkalemic Periodic" ""
"525" "PULMONARY ALVEOLAR MICROLITHIASIS" ""
"526" "Glycosuria, Renal" ""
"527" "SPINAL MUSCULAR ATROPHY, TYPE I" ""
"528" "Osteitis Deformans" "RANKL/RANK Signaling Pathway;Osteoclast Signaling"
"529" "DiGeorge Syndrome" "Heart Development"
"530" "Mandibulofacial Dysostosis" "Eukaryotic Transcription Initiation"
"531" "Anemia, Aplastic" "Allograft Rejection;Cytokines and Inflammatory Response"
"532" "Camurati-Engelmann Syndrome" ""
"533" "TRICHORHINOPHALANGEAL SYNDROME, TYPE I" ""
"534" "Gilbert Disease" "Estrogen metabolism;Metapathway biotransformation;Glucuronidation;Codeine and Morphine Metabolism;Irinotecan Pathway;Oxidative Stress;Arylhydrocarbon receptor (AhR) signaling pathway"
"535" "Porphyria, Erythropoietic" "Heme Biosynthesis"
"536" "von Hippel-Lindau Disease" ""
"537" "Wiskott-Aldrich Syndrome" "G13 Signaling Pathway;Pathogenic Escherichia coli infection;Allograft Rejection;TCR Signaling Pathway;Regulation of Actin Cytoskeleton;EGF/EGFR Signaling Pathway;PDGF Pathway"
"538" "Wolfram Syndrome" "Methylation Pathways;Dopamine metabolism;Biogenic Amine Synthesis"
"539" "Nephrotic Syndrome" "Allograft Rejection;Inflammatory Response Pathway;ACE Inhibitor Pathway;Spinal Cord Injury;Monoamine Transport;Cytokines and Inflammatory Response"
"540" "Burkitt Lymphoma" "Toll-like receptor signaling pathway;Integrated Cancer pathway;Wnt Signaling Pathway Netpath;Allograft Rejection;DNA Damage Response (only ATM dependent);TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;Inflammatory Response Pathway;SIDS Susceptibility Pathways;IL-4 Signaling Pathway;DNA Damage Response;TSLP Signaling Pathway;Notch Signaling Pathway;Oncostatin M Signaling Pathway;Spinal Cord Injury;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;Regulation of toll-like receptor signaling pathway;Amyotrophic lateral sclerosis (ALS);TNF alpha Signaling Pathway;Integrated Pancreatic Cancer Pathway;TFs Regulate miRNAs related to cardiac hypertrophy;Cytokines and Inflammatory Response;Folate Metabolism"
"541" "Carcinoma" "Angiogenesis;Integrated Cancer pathway;Estrogen signaling pathway;TWEAK Signaling Pathway;TGF Beta Signaling Pathway;Leptin signaling pathway;Osteopontin Signaling;RANKL/RANK Signaling Pathway;Oncostatin M Signaling Pathway;Apoptosis;AGE/RAGE pathway;ErbB Signaling Pathway;Integrated Pancreatic Cancer Pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma"
"542" "Epilepsy" ""
"543" "Mental Disorders" "Tamoxifen metabolism;Monoamine GPCRs;Codeine and Morphine Metabolism;SIDS Susceptibility Pathways;Monoamine Transport;Nicotine Activity on Dopaminergic Neurons;Serotonin Transporter Activity;Biogenic Amine Synthesis;Oxidation by Cytochrome P450"
"544" "Neuroblastoma" "Apoptosis Modulation and Signaling;TP53 Network;Apoptosis"
"545" "Neurotoxicity Syndromes" ""
"546" "Neutropenia" "Fluoropyrimidine Activity;Type II interferon signaling (IFNG);Selenium Micronutrient Network;Allograft Rejection;Glucuronidation;Codeine and Morphine Metabolism;Irinotecan Pathway;Vitamin B12 Metabolism;Cytokines and Inflammatory Response;Folate Metabolism"
"547" "Heart Diseases" "ACE Inhibitor Pathway;Cardiac Progenitor Differentiation;Vitamin B12 Metabolism;IL-6 signaling pathway"
"548" "Hypertension" "Selenium Micronutrient Network;Blood Clotting Cascade;ACE Inhibitor Pathway;Oxidative Stress;Vitamin B12 Metabolism;Endothelin Pathways;Folate Metabolism"
"549" "Status Epilepticus" "BDNF signaling pathway;Allograft Rejection;TWEAK Signaling Pathway;FAS pathway and Stress induction of HSP regulation;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;SIDS Susceptibility Pathways;Signaling of Hepatocyte Growth Factor Receptor;Oxidative Stress;Peptide GPCRs;Oncostatin M Signaling Pathway;Spinal Cord Injury;Arylhydrocarbon receptor (AhR) signaling pathway;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;MAPK Signaling Pathway"
"550" "Diabetes Mellitus, Type 1" "Type II interferon signaling (IFNG);Selenium Micronutrient Network;Allograft Rejection;Inflammatory Response Pathway;ACE Inhibitor Pathway;Spinal Cord Injury;Vitamin B12 Metabolism;Type II diabetes mellitus;Cytokines and Inflammatory Response;Folate Metabolism"
"551" "Persistent Hyperinsulinemia Hypoglycemia of Infancy" ""
"552" "Lipid Metabolism, Inborn Errors" "Nuclear Receptors in Lipid Metabolism and Toxicity;Statin Pathway;Fatty Acid Beta Oxidation;Mitochondrial LC-Fatty Acid Beta-Oxidation"
"553" "Adenocarcinoma" "Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Aflatoxin B1 metabolism;TWEAK Signaling Pathway;Quercetin and Nf-kB/ AP-1 induced cell apoptosis;Aryl Hydrocarbon Receptor;Irinotecan Pathway;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;Glutathione metabolism;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;Oxidative Stress;RANKL/RANK Signaling Pathway;Oncostatin M Signaling Pathway;Prostaglandin Synthesis and Regulation;Apoptosis Modulation by HSP70;Apoptosis Modulation and Signaling;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Amyotrophic lateral sclerosis (ALS);Integrated Pancreatic Cancer Pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Folate Metabolism"
"554" "Pancreatic Neoplasms" "EPO Receptor Signaling;Fluoropyrimidine Activity;Toll-like receptor signaling pathway;Angiogenesis;IL-7 Signaling Pathway;Integrated Cancer pathway;Estrogen signaling pathway;DNA Damage Response (only ATM dependent);Focal Adhesion;TWEAK Signaling Pathway;Aryl Hydrocarbon Receptor;Signaling of Hepatocyte Growth Factor Receptor;TGF Beta Signaling Pathway;IL-3 Signaling Pathway;IL-4 Signaling Pathway;Leptin signaling pathway;Interleukin-11 Signaling Pathway;DNA Damage Response;Osteopontin Signaling;TSLP Signaling Pathway;MicroRNAs in cardiomyocyte hypertrophy;Oncostatin M Signaling Pathway;Spinal Cord Injury;Androgen receptor signaling pathway;IL-5 Signaling Pathway;Endochondral Ossification;TP53 Network;Apoptosis;Arylhydrocarbon receptor (AhR) signaling pathway;AGE/RAGE pathway;ErbB Signaling Pathway;Heart Development;EBV LMP1 signaling;Integrated Pancreatic Cancer Pathway;Alpha 6 Beta 4 signaling pathway;TSH signaling pathway;Integrated Breast Cancer Pathway;Senescence and Autophagy;Signaling Pathways in Glioblastoma;Folate Metabolism"
"555" "Berylliosis" "Allograft Rejection;TCR Signaling Pathway;ACE Inhibitor Pathway;Cytokines and Inflammatory Response"
