"pathway" "deceacelist"
"60" "Allograft Rejection" "Lupus Erythematosus, Systemic;Nervous System Diseases;Brain Ischemia;Hypertension, Pregnancy-Induced;Severe Acute Respiratory Syndrome;Spinal Cord Diseases;Heart Valve Diseases;Diabetes Mellitus;Asthma;Anemia;Skin Neoplasms;Hepatitis, Autoimmune;Spondylitis, Ankylosing;Rectal Neoplasms;Multiple Sclerosis;Colitis, Ulcerative;Neoplasms, Basal Cell;Celiac Disease;Immunologic Deficiency Syndromes;Dermatomyositis;Pemphigus;Tuberculosis, Pulmonary;Endometriosis;Rhinitis;Dengue Hemorrhagic Fever;Leishmaniasis;Periodontal Diseases;Cystitis, Interstitial;Granulomatous Disease, Chronic;Seminoma;Enterocolitis, Necrotizing;Parapsoriasis;Behcet Syndrome;Leishmaniasis, Mucocutaneous;Placenta Diseases;HIV-Associated Lipodystrophy Syndrome;Leukemia, Lymphoid;Schistosomiasis mansoni;Nephrosis, Lipoid;alpha 1-Antitrypsin Deficiency;Abortion, Habitual;Bacterial Infections;Mitral Valve Insufficiency;Hypergammaglobulinemia;Bronchiolitis;Rheumatic Heart Disease;Vulvar Neoplasms;Fallopian Tube Diseases;Meningitis, Pneumococcal;Scleroderma, Limited;Takayasu Arteritis;Pneumoconiosis;Herpes Zoster;Otitis Media with Effusion;Gingivitis;Vaginal Diseases;Burning Mouth Syndrome;Lymphadenitis;Lyme Neuroborreliosis;Lichen Planus;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Hyper-IgM Immunodeficiency Syndrome;Ovarian Neoplasms;Anemia, Aplastic;Wiskott-Aldrich Syndrome;Nephrotic Syndrome;Burkitt Lymphoma;Neutropenia;Status Epilepticus;Diabetes Mellitus, Type 1;Berylliosis;Pre-Eclampsia;Arthritis, Rheumatoid;Proteinuria;Polyendocrinopathies, Autoimmune;Sarcoidosis;Retinal Detachment;Glioblastoma;Glioma;Uterine Cervical Neoplasms;Hepatitis C;Vitiligo;Scleroderma, Systemic;Staphylococcal Infections;Arthritis;Glaucoma;Addison Disease;Malaria, Falciparum;Leishmaniasis, Visceral;Myocarditis;Alopecia Areata;Polymyositis;Arthritis, Psoriatic;Hyperglycemia;Synovitis;Eosinophilia-Myalgia Syndrome;Uveomeningoencephalitic Syndrome;Appendicitis;Bronchiolitis Obliterans;Job's Syndrome;Prostatitis;MERRF Syndrome;Eosinophilia;Stomach Ulcer;Agricultural Workers' Diseases;Vesico-Ureteral Reflux;Fetal Membranes, Premature Rupture;Food Hypersensitivity;Sjogren's Syndrome;Rheumatic Fever;Malaria, Cerebral;Guillain-Barre Syndrome;Multiple Sclerosis, Chronic Progressive;Respiratory Syncytial Virus Infections;Chlamydia Infections;Obstetric Labor, Premature;Leprosy, Lepromatous;Vaginosis, Bacterial;Tuberculosis, Pleural;Mitral Valve Stenosis;Polymyalgia Rheumatica;Churg-Strauss Syndrome;Still's Disease, Adult-Onset;Trachoma;Lymphohistiocytosis, Hemophagocytic;Alveolitis, Extrinsic Allergic;Aneurysm;Aggressive Periodontitis;Autoimmune Lymphoproliferative Syndrome;Kidney Failure, Chronic;Heart Failure;Hypertension, Pulmonary;Diabetes, Gestational;Glomerulonephritis;Thyroiditis, Autoimmune;HIV Infections;Hypersensitivity;Nephritis;Respiratory Distress Syndrome, Adult;Uveitis;Carcinoma, Transitional Cell;Stomach Diseases;Carcinoma, Basal Cell;Dermatitis, Atopic;Lymphoma;Multiple Myeloma;Leukemia-Lymphoma, Adult T-Cell;Pulmonary Fibrosis;Purpura, Schoenlein-Henoch;Migraine without Aura;Leishmaniasis, Cutaneous;Dengue;Malaria;BILIARY CIRRHOSIS, PRIMARY, 1;Myasthenia Gravis;Pancreatitis;Oral Submucous Fibrosis;Fatty Liver;Fatty Liver, Alcoholic;Pneumonia;Stomatitis;Graves Disease;Thyroid Diseases;Peptic Ulcer;Cholestasis, Intrahepatic;Mucocutaneous Lymph Node Syndrome;Acquired Immunodeficiency Syndrome;Dermatitis, Allergic Contact;Mycobacterium Infections, Nontuberculous;Pregnancy Complications;Kearns-Sayre Syndrome;Mitochondrial Myopathies;Bronchopulmonary Dysplasia;Lymphopenia;Leprosy;Sarcoma, Kaposi;Infertility;Schistosomiasis japonica;Eye Diseases;Candidiasis, Chronic Mucocutaneous;Cytomegalovirus Infections;Mycobacterium Infections;Pneumococcal Infections;Hypothyroidism;Gastritis;Silicosis;Fibromyalgia;Subacute Sclerosing Panencephalitis;Giant Cell Arteritis;Brucellosis;Scleroderma, Diffuse;Warts;Pemphigoid, Benign Mucous Membrane;Blood Group Incompatibility;Sezary Syndrome;Purpura;Keratoconjunctivitis Sicca;Mixed Connective Tissue Disease;OVARIAN CANCER;Cystic Fibrosis;Liver Cirrhosis;Melanoma;Cardiomyopathy, Dilated;Glomerulonephritis, IGA;Myocardial Infarction;Ductus Arteriosus, Patent;Calcinosis;Nephritis, Interstitial;Leukemia;Kidney Neoplasms;Lymphoma, Follicular;Vasculitis;Liver Cirrhosis, Biliary;Helicobacter Infections;Hodgkin Disease;Narcolepsy;Dermatitis, Contact;Hepatitis B;Gliosarcoma;Central Nervous System Diseases;Periodontitis;Mastocytosis, Systemic;Virus Diseases;Myositis;HIV Wasting Syndrome;Pemphigoid, Bullous;Lymphoproliferative Disorders;Hepatitis A;Bronchitis, Chronic;Bronchitis;Aortic Valve Insufficiency;Cholangitis, Sclerosing;Paraparesis, Tropical Spastic;Gastritis, Atrophic;Tuberculosis, Miliary;Typhoid Fever;Uveitis, Anterior;Histiocytosis, Langerhans-Cell;Influenza, Human;Lyme Disease;Boutonneuse Fever"
"61" "Corticotropin-releasing hormone" ""
"62" "Estrogen signaling pathway" "PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Keratosis, Seborrheic;Carcinoma, Renal Cell;Stomach Neoplasms;Pituitary Neoplasms;Skin Neoplasms;Adenoma;Thyroid Neoplasms;Uterine Neoplasms;Fibrous Dysplasia, Polyostotic;Pseudopseudohypoparathyroidism;Rhabdomyosarcoma;Fibroadenoma;Carcinoma, Ductal;Lyme Neuroborreliosis;Keratosis, Actinic;Vaccinia;Ovarian Neoplasms;Carcinoma;Adenocarcinoma;Pancreatic Neoplasms;Arthritis, Rheumatoid;Colonic Neoplasms;Glioblastoma;Glioma;Cholangiocarcinoma;Hyperglycemia;Nevus, Epithelioid and Spindle Cell;BREAST CANCER;Breast Neoplasms;Lung Neoplasms;Liver Neoplasms;Lymphoma;Osteosarcoma;Ectodermal Dysplasia;Conjunctival Neoplasms;OVARIAN CANCER;Prostatic Neoplasms;Noonan Syndrome;Endometrial Neoplasms;Neuroendocrine Tumors;AIDS-related Kaposi sarcoma;Hodgkin Disease;Fibrous Dysplasia of Bone;Incontinentia Pigmenti;Breast Diseases;Carcinoma, Papillary, Follicular;Lyme Disease;Hyaline Membrane Disease"
"63" "DNA Damage Response (only ATM dependent)" "PROSTATE CANCER;BLADDER CANCER;Urinary Bladder Neoplasms;Carcinoma, Renal Cell;Esophageal Neoplasms;Stomach Neoplasms;Pituitary Neoplasms;Adenoma;Soft Tissue Neoplasms;Thyroid Neoplasms;Endometriosis;Rhabdomyosarcoma;Meningeal Neoplasms;Hepatoblastoma;Neoplasms, Squamous Cell;Fibroadenoma;Carcinoma, Ductal;Carcinoma, Verrucous;Keratosis, Actinic;Vaccinia;Proteus Syndrome;COLORECTAL CANCER;Ovarian Neoplasms;Gastrointestinal Stromal Tumors;Burkitt Lymphoma;Carcinoma;Adenocarcinoma;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Intestinal Neoplasms;Glioma;Adenocarcinoma, Clear Cell;Uterine Cervical Neoplasms;Hepatitis C;Cholangiocarcinoma;Hyperglycemia;Astrocytoma;Neuroma, Acoustic;Adenoma, Pleomorphic;Keratoacanthoma;BREAST CANCER;Breast Neoplasms;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Lymphoma;Gallbladder Neoplasms;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Keratosis;Cecal Neoplasms;Papilloma;Parathyroid Neoplasms;Brain Neoplasms;Hemangiosarcoma;Leiomyoma;Leukemia, Myeloid;Meningioma;MENINGIOMA, FAMILIAL;Retinoblastoma;PANCREATIC CANCER;MESOTHELIOMA, MALIGNANT;Medulloblastoma;OVARIAN CANCER;Prostatic Neoplasms;Melanoma;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Leukemia;Helicobacter Infections;Li-Fraumeni Syndrome;Hodgkin Disease;Hepatitis B;Leukemia, T-Cell;Cholesteatoma"
"64" "Amino acid conjugation of benzoic acid" ""
"65" "Eicosanoid Synthesis" "Atherosclerosis;Asthma;Stroke;Carcinoma, Medullary;Ductus Arteriosus, Patent;Myositis"
"66" "Butyrate-induced histone acetylation" ""
"67" "Vitamin D Metabolism" "Osteoporosis;Hypoparathyroidism;Hyperparathyroidism, Secondary;Leprosy, Tuberculoid;Dysgerminoma;Xanthomatosis, Cerebrotendinous;Smith-Lemli-Opitz Syndrome;Hyperparathyroidism;Addison Disease;Hip Dislocation, Congenital;Parathyroid Diseases;Lung Neoplasms;Thyroiditis, Autoimmune;Uremia;Hypercalcemia;Graves Disease;Rickets;Sciatic Neuropathy;Syringomyelia"
"68" "RalA downstream regulated genes" ""
"69" "Mismatch repair" "Carcinoma, Small Cell;Carcinoma, Endometrioid;ENDOMETRIAL CANCER;Colonic Neoplasms;Colorectal Neoplasms, Hereditary Nonpolyposis;Adenomyoma;Lung Neoplasms;Digestive System Neoplasms;Gastrointestinal Neoplasms;Head and Neck Neoplasms;Gastritis;Endometrial Neoplasms;Breast Diseases;Esophageal Diseases"
"70" "Aflatoxin B1 metabolism" "BLADDER CANCER;Urinary Bladder Neoplasms;Esophageal Neoplasms;Laryngeal Neoplasms;Adenoma;Rectal Neoplasms;Carcinoma, Small Cell;Glaucoma, Open-Angle;Behcet Syndrome;Neoplasms, Glandular and Epithelial;Ovarian Neoplasms;Testicular Neoplasms;Anemia, Aplastic;Nephrotic Syndrome;Adenocarcinoma;Splenic Diseases;Porphyria Cutanea Tarda;Occupational Diseases;Lung Neoplasms;Liver Neoplasms;Liver Diseases;Head and Neck Neoplasms;Lymphoma;Gallbladder Neoplasms;Pancreatitis;Methemoglobinemia;Raynaud Disease;Asbestosis;Leukemia, Myeloid;Lung Diseases, Obstructive;Jaundice, Neonatal;Macular Degeneration;OVARIAN CANCER;Liver Cirrhosis;Leukemia, Myelogenous, Chronic, BCR-ABL Positive;Pulmonary Disease, Chronic Obstructive"
"71" "Glycerophospholipid Biosynthetic Pathway" ""
"72" "Focal Adhesion" "Thyroid Neoplasms;Epidermolysis Bullosa, Junctional;Dermatofibrosarcoma;Ovarian Neoplasms;Glioblastoma;Glioma;EHLERS-DANLOS SYNDROME, TYPE I;Carcinoma, Squamous Cell;Sarcoma, Synovial;Osteosarcoma;Leiomyoma;Lymphedema;Medulloblastoma;OVARIAN CANCER;Noonan Syndrome;Osteochondrodysplasias;Polycystic Kidney, Autosomal Dominant;Ehlers-Danlos Syndrome"
"73" "Trans-sulfuration and one carbon metabolism" "Folic Acid Deficiency;Hyperhomocysteinemia;Amino Acid Metabolism, Inborn Errors"
"74" "Drug Induction of Bile Acid Pathway" "Cholestasis;Osteomalacia;BILIARY CIRRHOSIS, PRIMARY, 1;Cholestasis, Intrahepatic;Liver Cirrhosis, Biliary"
"75" "Polyol Pathway" "Fructose Intolerance"
"76" "Heme Biosynthesis" "Porphyria, Acute Intermittent;Porphyria, Variegate;Porphyria, Erythropoietic;Porphyrias, Hepatic;Porphyrias;Porphyria Cutanea Tarda;Coproporphyria, Hereditary;Protoporphyria, Erythropoietic;Anemia, Sideroblastic"
"77" "TWEAK Signaling Pathway" "PROSTATE CANCER;Esophageal Neoplasms;Atherosclerosis;Stomach Neoplasms;Brain Ischemia;Spinal Cord Diseases;Muscular Atrophy;Skin Neoplasms;Multiple Sclerosis;Agammaglobulinemia;Pemphigus;Tuberculosis, Pulmonary;Endometriosis;Dengue Hemorrhagic Fever;Leishmaniasis;HIV-Associated Lipodystrophy Syndrome;Meningeal Neoplasms;Rheumatic Heart Disease;Temporomandibular Joint Dysfunction Syndrome;Stress Disorders, Post-Traumatic;Meningitis, Pneumococcal;Pneumoconiosis;Otitis Media with Effusion;Burning Mouth Syndrome;Lyme Neuroborreliosis;Keratosis, Actinic;Lichen Planus;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Vaccinia;Ovarian Neoplasms;Burkitt Lymphoma;Carcinoma;Status Epilepticus;Adenocarcinoma;Pancreatic Neoplasms;Berylliosis;Arthritis, Rheumatoid;Colonic Neoplasms;Glioblastoma;Glioma;Neurodegenerative Diseases;Carcinoma, Adenoid Cystic;Diabetic Neuropathies;Hepatitis C;Scleroderma, Systemic;Arthritis;Glaucoma;Pancreatitis, Chronic;Polymyositis;Cholangiocarcinoma;Hyperglycemia;Fetal Membranes, Premature Rupture;Obstetric Labor, Premature;Trachoma;Lymphohistiocytosis, Hemophagocytic;Carcinoma, Mucoepidermoid;Aneurysm;Paget Disease, Extramammary;BREAST CANCER;Breast Neoplasms;Lung Neoplasms;Kidney Failure, Chronic;Carcinoma, Squamous Cell;Liver Neoplasms;Diabetic Nephropathies;Heart Failure;Liver Diseases;Diabetic Retinopathy;Glomerulonephritis;Dermatitis, Atopic;Lymphoma;Multiple Myeloma;Osteosarcoma;Parkinson Disease;Leishmaniasis, Cutaneous;Pneumonia;Tuberous Sclerosis;Mitochondrial Myopathies;Meningioma;Retinoblastoma;Pneumococcal Infections;Temporomandibular Joint Disorders;Ectodermal Dysplasia;Subacute Sclerosing Panencephalitis;Brucellosis;OVARIAN CANCER;Prostatic Neoplasms;Leukemia, Myeloid, Acute;Melanoma;Glomerulonephritis, IGA;Endometrial Neoplasms;Carotid Artery Diseases;Leukemia;Hodgkin Disease;Hepatitis B;Myositis;HIV Wasting Syndrome;Paraparesis, Tropical Spastic;Uveitis, Anterior;Histiocytosis, Langerhans-Cell;Influenza, Human;Pleural Effusion, Malignant;Lyme Disease;Encephalomyelitis;Boutonneuse Fever;Cholesteatoma"
"78" "Glucuronidation" "Gilbert Disease;Neutropenia;Crigler-Najjar Syndrome"
"79" "FAS pathway and Stress induction of HSP regulation" "BLADDER CANCER;Urinary Bladder Neoplasms;Esophageal Neoplasms;Nervous System Diseases;Stomach Neoplasms;Soft Tissue Neoplasms;Dermatomyositis;Scleroderma, Localized;Seminoma;HIV-Associated Lipodystrophy Syndrome;Pneumoconiosis;Gingivitis;Lichen Planus;Status Epilepticus;Colonic Neoplasms;Glioma;Chondrosarcoma, Mesenchymal;Uterine Cervical Neoplasms;Glaucoma;Polymyositis;Lipodystrophy;Still's Disease, Adult-Onset;BREAST CANCER;Breast Neoplasms;Autoimmune Lymphoproliferative Syndrome;Werner Syndrome;Lung Neoplasms;Multiple Myeloma;Osteosarcoma;Parkinson Disease;Migraine without Aura;Leishmaniasis, Cutaneous;Myasthenia Gravis;Graves Disease;Hepatic Encephalopathy;Acquired Immunodeficiency Syndrome;Leukemia, Myeloid;Gastritis;Silicosis;Melanoma;Leukemia;Hodgkin Disease;Dermatitis, Contact;HIV Wasting Syndrome;Histiocytosis, Langerhans-Cell;Encephalomyelitis"
"80" "GPCRs, Class B Secretin-like" ""
"81" "GPCRs, Class C Metabotropic glutamate, pheromone" "Epilepsy, Temporal Lobe"
"82" "Statin Pathway" "Alzheimer Disease;Obesity;Atherosclerosis;Coronary Disease;Diabetes Mellitus;Hyperlipoproteinemias;Hyperlipoproteinemia Type V;Sea-Blue Histiocyte Syndrome;Marijuana Abuse;Diabetic Angiopathies;Hyperlipidemia, Familial Combined;Syndrome;Aortic Valve Stenosis;Cholecystolithiasis;Hypobetalipoproteinemias;Hyperlipoproteinemia Type I;Hypertension;Lipid Metabolism, Inborn Errors;Cardiovascular Diseases;Vascular Diseases;Hyperlipidemias;Hyperlipoproteinemia Type III;Arteriosclerosis;Phencyclidine Abuse;Diabetic Neuropathies;Hepatitis C;Hyperuricemia;Diabetes Mellitus, Type 2;Lecithin Acyltransferase Deficiency;Hyperlipoproteinemia Type II;Xanthomatosis;Diabetic Nephropathies;Stroke;Metabolic Syndrome X;Hypercholesterolemia;Carotid Stenosis;Gallbladder Neoplasms;Hypolipoproteinemias;Dermatomycoses;Riboflavin Deficiency;Tangier Disease;Abetalipoproteinemia;Gallbladder Diseases;Myocardial Infarction;Cerebral Infarction;Myocardial Ischemia;Ductus Arteriosus, Patent;Carotid Artery Diseases;Bile Duct Neoplasms"
"83" "Interferon type I signaling pathways" "Hepatitis C;Tuberous Sclerosis;Leukemia, Myelogenous, Chronic, BCR-ABL Positive"
"84" "Quercetin and Nf-kB/ AP-1 induced cell apoptosis" "Nervous System Diseases;Skin Neoplasms;Hypertension, Portal;Meningeal Neoplasms;Sarcoidosis, Pulmonary;Pyloric Stenosis;Lyme Neuroborreliosis;Diverticulitis;POEMS Syndrome;Burkitt Lymphoma;Status Epilepticus;Adenocarcinoma;Arthritis, Rheumatoid;Glioma;Stomach Ulcer;Dementia, Multi-Infarct;Malaria, Cerebral;Epilepsia Partialis Continua;Synovitis, Pigmented Villonodular;Sudden Infant Death;Lung Neoplasms;Diabetic Nephropathies;Carcinoma, Pancreatic Ductal;Gallbladder Neoplasms;Multiple Myeloma;Keratosis;Pneumonia;Opisthorchiasis;Constipation;Tuberous Sclerosis;Meningioma;Ectodermal Dysplasia;Yersinia Infections;Gastroparesis;Endometrial Neoplasms;Pulmonary Disease, Chronic Obstructive;Hodgkin Disease;Incontinentia Pigmenti;Polycystic Kidney, Autosomal Dominant;Dementia, Vascular;Lyme Disease;Hyaline Membrane Disease"
"85" "Nucleotide Metabolism" ""
"86" "Aryl Hydrocarbon Receptor" "BLADDER CANCER;Urinary Bladder Neoplasms;Esophageal Neoplasms;Stomach Neoplasms;Pituitary Neoplasms;Skin Neoplasms;Adenoma;Mesothelioma;Rectal Neoplasms;Thyroid Neoplasms;Uterine Neoplasms;Endometriosis;Hyperparathyroidism, Secondary;Seminoma;Rhabdomyosarcoma;Intestinal Diseases;Fibroadenoma;Ovarian Neoplasms;Testicular Neoplasms;Gastrointestinal Stromal Tumors;Burkitt Lymphoma;Carcinoma;Neuroblastoma;Adenocarcinoma;Pancreatic Neoplasms;Infertility, Male;Splenic Diseases;Colonic Neoplasms;Glioblastoma;Small Cell Lung Carcinoma;Hypoglycemia;Uterine Cervical Neoplasms;Hepatitis C;Occupational Diseases;Cholangiocarcinoma;Astrocytoma;Stomach Ulcer;Fetal Membranes, Premature Rupture;Malaria, Cerebral;Neuroma, Acoustic;Adenocarcinoma, Papillary;BREAST CANCER;Breast Neoplasms;Lung Neoplasms;Hyperlipoproteinemia Type II;Kidney Failure, Chronic;Carcinoma, Squamous Cell;Liver Neoplasms;Carcinoma, Transitional Cell;Head and Neck Neoplasms;Lymphoma;Multiple Myeloma;Osteosarcoma;Papilloma;Barrett Esophagus;Brain Neoplasms;Pancreatitis;Pneumonia;Hemangiosarcoma;Leiomyoma;Penile Neoplasms;Retinoblastoma;Multiple Endocrine Neoplasia;Leiomyomatosis;Nevus, Pigmented;Granulosa Cell Tumor;Sarcoma, Clear Cell;OVARIAN CANCER;Leukemia, Myeloid, Acute;Noonan Syndrome;Melanoma;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Leukemia;Neuroendocrine Tumors;Carcinoma, Large Cell;Hepatitis B;Gliosarcoma;Optic Nerve Diseases;Bronchitis, Chronic;Bronchitis;Adenocarcinoma, Bronchiolo-Alveolar;Cholesteatoma"
"87" "SREBP signalling" "Hyperlipidemia, Familial Combined;Hypercholesterolemia"
"88" "Glucocorticoid & Mineralcorticoid Metabolism" "Adrenal Hyperplasia, Congenital;Herpes Zoster;Hyperandrogenism;Polycystic Ovary Syndrome;GLUCOCORTICOID-REMEDIABLE ALDOSTERONISM;Hypoaldosteronism;Trophoblastic Neoplasms"
"89" "TCR Signaling Pathway" "Lupus Erythematosus, Systemic;Skin Neoplasms;Celiac Disease;Gingivitis;Vaginal Diseases;Lyme Neuroborreliosis;Keratosis, Actinic;Hypoxia-Ischemia, Brain;Vaccinia;Berylliosis;Arthritis, Rheumatoid;Glioblastoma;Scleroderma, Systemic;Hyperglycemia;MERRF Syndrome;Fetal Membranes, Premature Rupture;Sjogren's Syndrome;LEOPARD Syndrome;Lymphoma;Multiple Myeloma;Kearns-Sayre Syndrome;Lymphopenia;Silicosis;Ectodermal Dysplasia;Brucellosis;Pemphigoid, Benign Mucous Membrane;Noonan Syndrome;Incontinentia Pigmenti;HIV Wasting Syndrome;Lyme Disease;Cholesteatoma"
"90" "Alzheimers Disease" "Alzheimer Disease;Keratosis, Seborrheic;Amyotrophic Lateral Sclerosis;Neurodegenerative Diseases;Amyloidosis;Gastroparesis;Histiocytosis, Langerhans-Cell"
"91" "Steroid Biosynthesis" "Adrenal Hyperplasia, Congenital;Endometriosis;Factor XIII Deficiency;Peroxisomal Disorders;Disorders of Sex Development;Polycystic Ovary Syndrome;Trophoblastic Neoplasms"
"92" "Hedgehog Signaling Pathway" "Congenital Abnormalities;Neoplasms, Basal Cell;Carcinoma, Neuroendocrine;Dermoid Cyst;Esophageal Atresia;Acrocallosal Syndrome;Basal Cell Nevus Syndrome;HYPOTHALAMIC HAMARTOMAS;Chondrosarcoma;Pallister-Hall Syndrome;Carcinoma, Basal Cell;Hamartoma;Medulloblastoma;GREIG CEPHALOPOLYSYNDACTYLY SYNDROME;Holoprosencephaly"
"93" "TarBasePathway" "Long QT Syndrome;Jervell-Lange Nielsen Syndrome;Romano-Ward Syndrome"
"94" "Codeine and Morphine Metabolism" "Nervous System Diseases;Choledocholithiasis;Jaundice, Chronic Idiopathic;Gilbert Disease;Mental Disorders;Neutropenia;Anemia, Sickle Cell;beta-Thalassemia;Hyperbilirubinemia;Occupational Diseases;Neuroleptic Malignant Syndrome;Crigler-Najjar Syndrome;Liver Neoplasms;HIV Infections;Thalassemia;Jaundice, Neonatal;Peripheral Nervous System Diseases;Carcinoma, Non-Small-Cell Lung;Endometrial Neoplasms;Kernicterus;Balkan Nephropathy"
"95" "Irinotecan Pathway" "Neutropenia;Colonic Neoplasms;Hyperbilirubinemia;Carcinoma, Non-Small-Cell Lung"
"96" "Fatty Acid Biosynthesis" ""
"97" "Structural Pathway of Interleukin 1 (IL-1)" "Keratosis, Actinic;Vaccinia;Glioma;Cholangiocarcinoma;Paget Disease, Extramammary;Gastroesophageal Reflux;Pneumococcal Infections;Ectodermal Dysplasia;Cholesteatoma"
"98" "Sphingolipid Metabolism" ""
"99" "miR-targeted genes in muscle cell - TarBase" ""
"100" "Synthesis and Degradation of Ketone Bodies" ""
"101" "Inflammatory Response Pathway" "Osteogenesis Imperfecta;Lupus Erythematosus, Systemic;Asthma;Anemia;Multiple Sclerosis;Colitis, Ulcerative;Enterocolitis, Necrotizing;Behcet Syndrome;Epidermolysis Bullosa, Junctional;Schistosomiasis mansoni;Hyper-IgM Immunodeficiency Syndrome;Nephrotic Syndrome;Burkitt Lymphoma;Diabetes Mellitus, Type 1;Berylliosis;Arthritis, Rheumatoid;Multiple Sclerosis, Relapsing-Remitting;Scleroderma, Systemic;Arthritis;Leishmaniasis, Visceral;Alopecia Areata;Myositis, Inclusion Body;Fetal Membranes, Premature Rupture;Food Hypersensitivity;Sjogren's Syndrome;Multiple Sclerosis, Chronic Progressive;OSTEOGENESIS IMPERFECTA, TYPE I;HIV Infections;Hypersensitivity;Pulmonary Fibrosis;Leishmaniasis, Cutaneous;Common Variable Immunodeficiency;Oral Submucous Fibrosis;Graves Disease;Leiomyoma;Mucocutaneous Lymph Node Syndrome;Acquired Immunodeficiency Syndrome;Dermatitis, Allergic Contact;Lymphopenia;Schistosomiasis japonica;Subacute Sclerosing Panencephalitis;Brucellosis;Pemphigoid, Benign Mucous Membrane;Liver Cirrhosis;Glomerulonephritis, IGA;Myocardial Infarction;Periodontitis;Ehlers-Danlos Syndrome;Uveitis, Anterior"
"102" "Regulation of Microtubule Cytoskeleton" "Proteus Syndrome"
"103" "SIDS Susceptibility Pathways" "Autistic Disorder;Spinal Cord Diseases;Heroin Dependence;Dermatomyositis;Dengue Hemorrhagic Fever;Leukemia, Lymphoid;Depression, Postpartum;Pneumoconiosis;Vaginal Diseases;Stomatitis, Aphthous;Hypoxia-Ischemia, Brain;Diverticulitis;Mental Disorders;Neuroblastoma;Status Epilepticus;Anorexia Nervosa;Amnesia;Hypoglycemia;Tourette Syndrome;Stomach Ulcer;Vesico-Ureteral Reflux;Bulimia;Borderline Personality Disorder;Sudden Infant Death;Rubinstein-Taybi Syndrome;Long QT Syndrome;Learning Disorders;Purpura, Schoenlein-Henoch;Down Syndrome;Migraine without Aura;Leishmaniasis, Cutaneous;Pneumonia;Irritable Bowel Syndrome;Mitochondrial Myopathies;Listeriosis;Silicosis;Fibromyalgia;Brucellosis;Romano-Ward Syndrome;Panic Disorder;Bipolar Disorder;Inappropriate ADH Syndrome;Schizophrenia, Paranoid;HIV Wasting Syndrome"
"104" "Signaling of Hepatocyte Growth Factor Receptor" "Osteoporosis;Thyroid Neoplasms;Carcinoma, Ductal;Keratosis, Actinic;Ovarian Neoplasms;Status Epilepticus;Adenocarcinoma;Pancreatic Neoplasms;Colonic Neoplasms;Glioblastoma;Glioma;Cholangiocarcinoma;Paget Disease, Extramammary;LEOPARD Syndrome;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Multiple Myeloma;Sarcoma, Synovial;Osteosarcoma;Hemangiosarcoma;Gastroesophageal Reflux;Penile Neoplasms;Medulloblastoma;OVARIAN CANCER;Noonan Syndrome;Melanoma;Leukemia;Hepatitis B;Cholesteatoma"
"105" "TGF Beta Signaling Pathway" "BLADDER CANCER;Urinary Bladder Neoplasms;Carcinoma, Renal Cell;Esophageal Neoplasms;Stomach Neoplasms;Neoplasms, Basal Cell;Celiac Disease;Thyroid Neoplasms;Tuberculosis, Pulmonary;Leishmaniasis;Scleroderma, Localized;MYELOFIBROSIS;Enterocolitis, Necrotizing;Leishmaniasis, Mucocutaneous;Rhabdomyosarcoma;Schistosomiasis mansoni;Abortion, Habitual;COLORECTAL CANCER;Ovarian Neoplasms;Marfan Syndrome;Carcinoma;Adenocarcinoma;Pancreatic Neoplasms;Vascular Diseases;Colonic Neoplasms;Anemia, Sickle Cell;Scleroderma, Systemic;Primary Myelofibrosis;Musculoskeletal Abnormalities;Job's Syndrome;Stomach Ulcer;Osteonecrosis;Fetal Membranes, Premature Rupture;Sjogren's Syndrome;Tuberculosis, Pleural;Telangiectasis;PULMONARY HYPERTENSION, PRIMARY, 1;Rubinstein-Taybi Syndrome;Chondrosarcoma;Lung Neoplasms;Carcinoma, Squamous Cell;Liver Neoplasms;Diabetic Nephropathies;Diabetic Retinopathy;Carcinoma, Basal Cell;Gallbladder Neoplasms;Multiple Myeloma;Uremia;BILIARY CIRRHOSIS, PRIMARY, 1;Oral Submucous Fibrosis;Pneumonia;Hemangiosarcoma;Penile Neoplasms;Dermatitis, Allergic Contact;Schistosomiasis japonica;Candidiasis, Chronic Mucocutaneous;Silicosis;Brucellosis;Hepatitis E;OVARIAN CANCER;Liver Cirrhosis;Endometrial Neoplasms;Liver Cirrhosis, Biliary;Hydronephrosis;Holoprosencephaly;Corneal Diseases;Boutonneuse Fever"
